julian_date,date,time,x,y,z,vx,vy,vz,range,radial_velocity
2460140.64758412,2023-Jul-15,03:32:31,-16400.79643613398,-378103.9897617638,-30023.64778888662,9.678109261871901,-9.334475972391656,-18.18001243855455,379648.56462793925,8.883197925986924
2460140.651056343,2023-Jul-15,03:37:31,-16702.720934049772,-377829.0526122008,-30020.97716725906,-1.045217410024399,-8.991527006078789,-2.35355762422722,379387.7079644398,8.50373673250537
2460140.654528565,2023-Jul-15,03:42:31,-17028.04997239121,-377564.69299025286,-30016.572442080884,-1.12385496528824,-8.629088597621742,-3.52446785125502,379138.55844513746,8.102468492962934
2460140.658000787,2023-Jul-15,03:47:31,-17377.16552576503,-377311.5159874782,-30010.38805968783,-1.203808830739446,-8.24577590329481,-4.726792353973396,378901.7938331407,7.677796844519397
2460140.661473009,2023-Jul-15,03:52:31,-17750.47596041772,-377070.1705238426,-30002.375237173343,-1.285169793902386,-7.840048536932869,-5.962779564152044,378678.1422469129,7.227957612434948
2460140.664945231,2023-Jul-15,03:57:31,-18148.41777473081,-376841.3543309512,-29992.48166392618,-1.368034703624123,-7.410188860262972,-7.234888822639284,378468.3875280374,6.750995988960947
2460140.668417454,2023-Jul-15,04:02:31,-18571.45749954895,-376625.8196421842,-29980.6511655846,-1.452507022996727,-6.954276444589067,-8.545817266469768,378273.375350575,6.244739793378755
2460140.671889676,2023-Jul-15,04:07:31,-19020.09377038979,-376424.3797162806,-29966.823324586258,-1.538697422073516,-6.470157896200271,-9.898530934991578,378094.02020130906,5.706768002992738
2460140.675361898,2023-Jul-15,04:12:31,-19494.85958310899,-376237.91634801764,-29950.93305040937,-1.626724407445046,-5.955411036941122,-11.296300885972366,377931.3133873047,5.134373547100676
2460140.67883412,2023-Jul-15,04:17:31,-19996.32474319954,-376067.3885536087,-29932.9100912938,-1.716714982051494,-5.407302172692755,-12.742745283360968,377786.3322611074,4.524519102351781
2460140.682306343,2023-Jul-15,04:22:31,-20525.098516125443,-375913.8426612664,-29912.678477633483,-1.808805322945485,-4.822734847078171,-14.241878630105454,377660.2508964404,3.873784300435228
2460140.685778565,2023-Jul-15,04:27:31,-21081.832481202677,-375778.4240917409,-29890.15588528119,-1.903141456100559,-4.198188039538068,-15.798169582601162,377554.35250104615,3.178302333187767
2460140.689250787,2023-Jul-15,04:32:31,-21667.22358344329,-375662.391183113,-29865.25290461764,-1.999879894296503,-3.529641190109175,-17.416609110946958,377470.0439217474,2.433683382249204
2460140.692723009,2023-Jul-15,04:37:31,-22282.017364825122,-375567.13150359225,-29837.87219829074,-2.099188184328408,-2.812482667697953,-19.102791177148948,377408.87268452556,1.634921563603446
2460140.696195231,2023-Jul-15,04:42:31,-22927.01133621089,-375494.1812121675,-29807.907526908362,-2.201245279780665,-2.041397273847767,-1.043150430544737,377372.5471257012,15.525621926697845
2460140.699667454,2023-Jul-15,04:47:31,-23603.058419111978,-375445.24817896454,-29775.24261751428,-2.30624160983988,-1.210226990407272,-1.135218374500176,377362.9603178246,-2.976878235114896
2460140.703139676,2023-Jul-15,04:52:31,-24311.0703394546,-375422.23977755953,-29739.74984408217,-2.414378644764238,-6.235945825223436,-1.231746205390216,377382.2186874176,-1.148103454992759
2460140.706611898,2023-Jul-15,04:57:31,-25052.020778038,-375427.2965290505,-29701.28868258707,-2.525867650260329,13.246025150322938,-1.333192476995617,377432.6764783108,-2.230409227924152
2460140.71008412,2023-Jul-15,05:02:31,-25826.94796929214,-375462.8331368457,-29659.70389475895,-2.640927154910151,1.721990000416173,-1.440081396500686,377516.9775568778,-3.406209031743022
2460140.713556343,2023-Jul-15,05:07:31,-26636.95625887319,-375531.588939858,-29614.823384606632,-2.75977838943996,2.879056767730527,-1.553014792402339,377638.10651804326,-4.687835882355779
2460140.717028565,2023-Jul-15,05:12:31,-27483.21585034934,-375636.6904826625,-29566.45565979334,-2.882637533815407,4.147614210875538,-1.672686566312968,377799.451681083,-6.089956318730682
2460140.720500787,2023-Jul-15,05:17:31,-28366.95952773106,-375781.72983283846,-29514.386816253013,-3.009702924279757,5.544698453186144,-1.799900106784857,378004.8834316136,-7.630151791715319
2460140.723973009,2023-Jul-15,05:22:31,-29289.47443144686,-375970.86358393164,-29458.37694995207,-3.14113424884681,7.091059663031327,-1.935589140871384,378258.85257194337,-9.329680453956453
2460140.727445231,2023-Jul-15,05:27:31,-30252.085817662028,-376208.93934053334,-29398.15588685236,-3.277018881219198,8.812218226550042,-2.080842368648524,378566.5150348032,1.121448606656436
2460140.730917454,2023-Jul-15,05:32:31,-31256.12783687886,-376501.6591494074,-29333.41811721781,-3.417317300235158,-1.073989281929602,-2.236931798735288,378933.8917120654,1.331654883376684
2460140.734389676,2023-Jul-15,05:37:31,-32302.89319561145,-376855.79320880095,-29263.816836676087,-3.561773965016845,-1.291395514043609,-2.405343618167561,379368.0755673731,1.567571362913208
2460140.737861898,2023-Jul-15,05:42:31,-33393.54812905361,-377279.4628388351,-29188.95706429088,-3.709770076472471,-1.53851379397613,-2.587807903693428,379877.50308633485,1.834218916144524
2460140.74133412,2023-Jul-15,05:47:31,-34528.98959732536,-377782.5199745948,-29108.38799257815,-3.860076496007205,-1.821882797606074,-2.786317791380896,380472.3140683087,2.137999175081219
2460140.744806343,2023-Jul-15,05:52:31,-35709.604528686796,-378377.062484286,-29021.5951716206,-4.010431028989035,-2.150042231687006,-3.003115997645499,381164.8334462898,2.487170811725837
2460140.748278565,2023-Jul-15,05:57:31,-36934.85944496852,-379078.1416437555,-28927.994164137202,-4.156798657903664,-2.534290769339427,-3.240597932620646,381970.2215627065,2.892504565063651
2460140.751750787,2023-Jul-15,06:02:31,-38202.589151177934,-379904.7402938902,-28826.929679402823,-4.292043662691105,-2.989746091119993,-3.501015080344848,382907.3535339366,3.368160808354005
2460140.755223009,2023-Jul-15,06:07:31,-39507.7372632843,-380881.1223616574,-28717.689655554863,-4.403481508307637,-3.536762872685325,-3.785709241265658,383999.99527902773,3.932776404177657
2460140.758695231,2023-Jul-15,06:12:31,-40840.07176791087,-382038.6506142268,-28599.55651643404,-4.468251653156323,-4.202580580030538,-4.093244442034767,385278.3106509943,4.610499437426022
2460140.762167454,2023-Jul-15,06:17:31,-42179.944141805856,-383418.0412514728,-28471.94798036618,-4.444436528712282,-5.022309569861058,-4.414937015040201,386780.5500108798,5.430831505347339
2460140.765639676,2023-Jul-15,06:22:31,-43490.308256027674,-385071.4308663782,-28334.7705219647,-4.254258940689772,-6.035655280971631,-4.724319569609867,388554.07989392756,6.423278833116664
